[23:26:19] currSec: 112.487619, totSec: 250.500000, status: 1, state: 0
[23:26:19] currSec: 113.230658, totSec: 250.500000, status: 1, state: 0
[23:26:20] currSec: 113.602177, totSec: 250.500000, status: 1, state: 0
[23:26:20] currSec: 113.973696, totSec: 250.500000, status: 1, state: 0
[23:26:21] currSec: 114.716735, totSec: 250.500000, status: 1, state: 0
[23:26:21] currSec: 115.088254, totSec: 250.500000, status: 1, state: 0
[23:26:22] currSec: 115.459773, totSec: 250.500000, status: 1, state: 0
[23:26:22] currSec: 116.202812, totSec: 250.500000, status: 1, state: 0
[23:26:23] currSec: 116.574331, totSec: 250.500000, status: 1, state: 0
[23:26:23] currSec: 116.945850, totSec: 250.500000, status: 1, state: 0
[23:26:24] currSec: 117.688889, totSec: 250.500000, status: 1, state: 0
[23:26:24] currSec: 118.060408, totSec: 250.500000, status: 1, state: 0
[23:26:25] currSec: 118.431927, totSec: 250.500000, status: 1, state: 0
[23:26:25] currSec: 119.174966, totSec: 250.500000, status: 1, state: 0
[23:26:26] currSec: 119.174966, totSec: 250.500000, status: 2, state: 0
[09:52:00] currSec: 0.000000, totSec: 0.000000, status: 0, state: 2
[09:52:00] currSec: 0.000000, totSec: 0.000000, status: 0, state: 2
[09:52:01] currSec: 0.000000, totSec: 0.000000, status: 0, state: 2
[09:52:01] currSec: 0.000000, totSec: 0.000000, status: 0, state: 2
[09:52:02] currSec: 0.000000, totSec: 0.000000, status: 0, state: 2
[09:52:02] currSec: 0.000000, totSec: 0.000000, status: 0, state: 2
[09:52:03] currSec: 0.000000, totSec: 0.000000, status: 0, state: 2
[09:52:03] currSec: 0.000000, totSec: 0.000000, status: 0, state: 2
[09:52:04] currSec: 0.000000, totSec: 0.000000, status: 0, state: 2
[09:52:04] currSec: 0.000000, totSec: 0.000000, status: 0, state: 2
[09:52:05] currSec: 0.000000, totSec: 0.000000, status: 0, state: 2
[09:52:05] currSec: 0.000000, totSec: 0.000000, status: 0, state: 2
[09:52:06] currSec: 0.000000, totSec: 0.000000, status: 0, state: 2
[09:52:06] currSec: 0.000000, totSec: 0.000000, status: 0, state: 2
[09:52:07] currSec: 0.000000, totSec: 0.000000, status: 0, state: 2
[09:52:07] currSec: 0.000000, totSec: 0.000000, status: 0, state: 2
[09:52:08] currSec: 0.000000, totSec: 0.000000, status: 0, state: 2
[09:52:08] currSec: 0.000000, totSec: 0.000000, status: 0, state: 2
[09:52:09] currSec: 0.000000, totSec: 0.000000, status: 0, state: 3
[09:52:09] currSec: 0.000000, totSec: 0.000000, status: 0, state: 3
[09:52:10] currSec: 0.000000, totSec: 0.000000, status: 0, state: 3
[09:52:10] currSec: 0.000000, totSec: 0.000000, status: 0, state: 3
[09:52:11] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:11] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:12] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:12] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:13] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:13] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:14] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:14] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:15] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:15] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:16] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:16] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:17] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:17] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:18] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:18] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:19] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:19] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:20] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:20] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:21] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:21] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:22] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:22] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:23] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:23] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:24] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:24] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:25] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:25] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:26] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:26] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
